                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.68492,                0.44041,                 1.0456,                0.77449,                0.90724,                0.92946,                0.80347,                0.57023,                0.62235,                0.87002,              0.0011508,              0.0011508,              0.0011508
                     61,                0.66319,                0.42093,                 1.0327,                0.94297,                0.95127,                0.97039,                0.85384,                0.53425,                0.36965,                 0.8664,              0.0011461,              0.0011461,              0.0011461
                     62,                0.65882,                0.42901,                 1.0252,                0.96637,                0.96431,                0.98219,                0.86975,                0.55049,                0.35043,                0.85346,              0.0011413,              0.0011413,              0.0011413
                     63,                0.64326,                0.41792,                 1.0071,                0.94586,                0.97605,                 0.9807,                0.86169,                0.57263,                 0.3374,                0.85714,              0.0011366,              0.0011366,              0.0011366
                     64,                0.64707,                0.43874,                 1.0281,                0.96596,                0.94298,                0.95561,                 0.8444,                0.52658,                 0.3813,                0.85192,              0.0011319,              0.0011319,              0.0011319
                     65,                0.63237,                0.42511,                  1.017,                0.92818,                 0.9721,                0.96274,                0.81713,                 0.6075,                0.37319,                0.87801,              0.0011272,              0.0011272,              0.0011272
                     66,                0.66898,                0.42586,                 1.0326,                0.89943,                0.89947,                 0.9408,                0.81045,                 0.5684,                0.47083,                0.87068,              0.0011225,              0.0011225,              0.0011225
                     67,                0.63094,                0.41669,                  1.007,                0.95195,                0.95353,                0.96402,                0.84343,                0.55863,                0.38485,                0.85195,              0.0011178,              0.0011178,              0.0011178
                     68,                0.62376,                0.39703,                 1.0136,                0.94724,                0.95772,                0.97797,                0.84948,                0.63667,                0.36874,                0.94963,               0.001113,               0.001113,               0.001113
                     69,                0.61799,                0.41505,                0.99852,                0.95124,                0.91334,                0.94297,                 0.8208,                0.54315,                0.59125,                0.87093,              0.0011083,              0.0011083,              0.0011083
                     70,                0.62028,                0.40173,                 1.0178,                0.96884,                0.92682,                0.97226,                0.85602,                0.50577,                0.55167,                 0.8242,              0.0011036,              0.0011036,              0.0011036
                     71,                0.62516,                0.42574,                 1.0043,                0.98801,                0.97222,                0.98488,                0.86309,                0.52441,                0.31539,                 0.8373,              0.0010989,              0.0010989,              0.0010989
                     72,                0.61887,                0.41707,                 1.0091,                0.97072,                0.96659,                0.98738,                0.86691,                0.52339,                0.31329,                0.81959,              0.0010942,              0.0010942,              0.0010942
                     73,                0.58857,                0.39287,                0.99362,                 0.9134,                 0.9253,                0.96423,                0.85567,                0.51635,                0.40226,                0.81835,              0.0010895,              0.0010895,              0.0010895
                     74,                0.62525,                0.39659,                 1.0018,                0.94411,                0.95287,                0.96619,                0.86089,                0.55311,                0.37164,                 0.8383,              0.0010848,              0.0010848,              0.0010848
